created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-07 02:00:23 IST,1,35.72,0.01,22.00,,,,
2019-11-07 02:00:46 IST,2,34.96,0.01,17.97,,,,
2019-11-07 02:01:08 IST,3,34.21,0.01,15.03,,,,
2019-11-07 02:01:33 IST,4,33.84,0.02,13.35,,,,
2019-11-07 02:01:56 IST,5,33.47,0.02,11.79,,,,
2019-11-07 02:02:18 IST,6,33.10,0.02,11.05,,,,
2019-11-07 02:02:41 IST,7,33.28,0.02,10.35,,,,
2019-11-07 02:03:04 IST,8,30.97,0.02,9.26,,,,
2019-11-07 02:03:27 IST,9,32.74,0.02,9.14,,,,
2019-11-07 02:03:52 IST,10,30.97,0.02,8.23,,,,
2019-11-07 02:04:49 IST,11,30.79,0.02,7.91,,,,
2019-11-07 02:05:12 IST,12,31.31,0.02,7.55,,,,
2019-11-07 02:05:35 IST,13,30.62,0.02,6.97,,,,
2019-11-07 02:05:57 IST,14,32.38,0.02,7.16,,,,
2019-11-07 02:06:20 IST,15,32.20,0.02,6.93,,,,
2019-11-07 02:06:42 IST,16,32.20,0.02,6.70,,,,
2019-11-07 02:07:05 IST,17,30.97,0.02,6.18,,,,
2019-11-07 02:07:28 IST,18,30.45,0.02,6.06,,,,
2019-11-07 02:07:51 IST,19,27.60,0.03,5.22,,,,
2019-11-07 02:10:17 IST,20,0.00,0.00,0.00,,,,
2019-11-07 02:10:40 IST,21,0.00,0.00,0.00,,,,
2019-11-07 02:11:02 IST,22,0.00,0.00,0.00,,,,
2019-11-07 02:11:38 IST,23,0.00,0.00,0.00,,,,
2019-11-07 02:12:19 IST,24,0.00,0.00,0.00,,,,
2019-11-07 02:12:42 IST,25,0.00,0.00,0.00,,,,
2019-11-07 02:13:04 IST,26,0.00,0.00,0.00,,,,
2019-11-07 02:13:27 IST,27,0.00,0.00,0.00,,,,
2019-11-07 02:13:51 IST,28,0.00,0.00,0.00,,,,
2019-11-07 02:14:32 IST,29,31.84,0.03,6.93,,,,
2019-11-07 02:14:55 IST,30,32.56,0.03,6.93,,,,
2019-11-07 02:15:18 IST,31,32.38,0.03,6.75,,,,
2019-11-07 02:15:40 IST,32,30.45,0.03,6.23,,,,
2019-11-07 02:16:03 IST,33,30.45,0.03,6.23,,,,
2019-11-07 02:16:26 IST,34,32.38,0.03,6.39,,,,
2019-11-07 02:16:52 IST,35,32.38,0.03,6.31,,,,
2019-11-07 02:17:14 IST,36,32.02,0.03,5.90,,,,
2019-11-07 02:17:58 IST,37,30.45,0.03,5.70,,,,
2019-11-07 02:18:20 IST,38,32.20,0.03,5.98,,,,
2019-11-07 02:18:46 IST,39,32.20,0.03,5.90,,,,
2019-11-07 02:19:08 IST,40,32.38,0.03,5.82,,,,
2019-11-07 02:19:31 IST,41,32.20,0.03,5.74,,,,
2019-11-07 02:19:54 IST,42,32.20,0.03,5.63,,,,
2019-11-07 02:20:17 IST,43,32.20,0.03,5.59,,,,
2019-11-07 02:20:40 IST,44,32.20,0.03,5.51,,,,
2019-11-07 02:21:02 IST,45,32.02,0.03,5.47,,,,
2019-11-07 02:21:25 IST,46,32.20,0.03,5.44,,,,
2019-11-07 02:21:49 IST,47,32.20,0.03,5.36,,,,
2019-11-07 02:23:00 IST,48,0.00,0.00,0.00,,,,
2019-11-07 02:23:22 IST,49,0.00,0.00,0.00,,,,
2019-11-07 02:23:50 IST,50,0.00,0.00,0.00,,,,
2019-11-07 02:24:13 IST,51,0.00,0.00,0.00,,,,
2019-11-07 02:24:35 IST,52,0.00,0.00,0.00,,,,
2019-11-07 02:24:56 IST,53,28.59,0.03,5.51,,,,
2019-11-07 02:25:18 IST,54,30.27,0.03,5.82,,,,
2019-11-07 02:25:41 IST,55,30.45,0.03,5.63,,,,
2019-11-07 02:26:03 IST,56,30.10,0.03,5.40,,,,
2019-11-07 02:26:26 IST,57,30.27,0.03,5.25,,,,
2019-11-07 02:26:52 IST,58,28.42,0.03,5.15,,,,
2019-11-07 02:27:15 IST,59,30.10,0.03,5.01,,,,
2019-11-07 02:27:37 IST,60,29.93,0.04,4.91,,,,
2019-11-07 02:28:00 IST,61,29.93,0.04,4.77,,,,
2019-11-07 02:28:23 IST,62,29.93,0.04,4.71,,,,
2019-11-07 02:28:47 IST,63,29.93,0.04,4.64,,,,
2019-11-07 02:29:10 IST,64,29.93,0.04,4.61,,,,
2019-11-07 02:29:32 IST,65,30.10,0.04,4.61,,,,
2019-11-07 02:29:58 IST,66,30.10,0.04,4.54,,,,
2019-11-07 02:30:20 IST,67,29.93,0.04,4.48,,,,
2019-11-07 02:30:43 IST,68,30.10,0.04,4.42,,,,
2019-11-07 02:31:06 IST,69,29.93,0.04,4.39,,,,
2019-11-07 02:31:28 IST,70,29.93,0.04,4.36,,,,
2019-11-07 02:32:19 IST,71,29.93,0.04,4.30,,,,
2019-11-07 02:32:41 IST,72,29.93,0.04,4.30,,,,
2019-11-07 02:33:04 IST,73,29.93,0.04,4.27,,,,
2019-11-07 02:33:29 IST,74,29.76,0.04,4.24,,,,
2019-11-07 02:33:55 IST,75,29.93,0.04,4.21,,,,
2019-11-07 02:34:18 IST,76,29.93,0.04,4.21,,,,
2019-11-07 02:34:41 IST,77,30.10,0.04,4.18,,,,
2019-11-07 02:35:03 IST,78,29.25,0.04,4.18,,,,
2019-11-07 02:35:27 IST,79,30.10,0.04,4.18,,,,
2019-11-07 02:35:52 IST,80,29.93,0.04,4.18,,,,
2019-11-07 02:36:15 IST,81,28.26,0.04,4.18,,,,
